year firm PPS EPS DPS
1996 ATT 43.375 3.47 1.32
1996 Allied 67 3.61 0.9
1996 Alcoa 63.75 2.94 1.33
1996 Aexpress 56.5 3.9 1.125
1996 Boeing 106.5 3.19 1.09
1996 Caterpillar 75.25 7.07 1.5
1996 Chevron 65 3.99 2.08
1996 Cocacola 52.625 1.4 0.5
1996 Waltdisney 69.75 1.96 0.4
1996 DuPont 94.125 6.47 2.23
1996 Eastman 80.25 3 1.6
1996 Exxon 98 6.02 3.12
1996 GE 98.875 4.4 1.9
1996 GM 55.75 6.07 1.6
1996 Goodyear 51.375 0.66 1.03 
1996 Hewlett 50.25 2.46 0.44
1996 IBM 151.5 10.24 1.3
1996 Intel 40.5 1.04 1
1996 Johnson 49.75 2.17 0.735
1996 McDonalds 45.375 2.21 0.293
1996 Merck 79.625 3.2 1.48
1996 Minnesota 83 3.63 1.92
1996 JPMorgan 97.625 7.63 3.31
1996 Philip 113 7.68 4.4
1996 Proctor 107.63 4.29 1.6
1996 Sears 46 3.12 0.92
1996 Travelers 45.375 3.45 0.45
1996 Union 40.875 4.28 0.75
1996 UnitedTech 66.25 3.45 1.1
1996 WalMart 22.75 1.33 0.21
