market_excess_return	excess_return_fund_A	excess_return_fund_B
2.18	0.23	0.86
3.48	3.04	2.76
2.50	2.43	2.12
2.47	1.21	1.37
3.41	2.12	2.42
1.88	1.65	1.71
2.88	3.19	2.83
-0.20	-0.87	0.51
3.76	2.63	3.04
-0.82	-2.24	-1.10
3.98	3.59	3.50
1.36	0.80	1.24
3.01	2.93	1.71
0.57	1.14	1.49
0.57	0.20	1.26
1.01	1.00	1.37
2.16	1.75	1.78
0.01	-1.03	-0.40
-4.90	-4.75	-4.18
1.71	2.32	1.83
5.18	4.87	4.05
2.32	1.00	0.92
7.18	5.68	4.89
-2.32	-1.84	-1.36
5.76	3.70	5.28
0.42	1.26	-1.75
-4.59	-4.99	-4.18
5.54	4.20	2.95
5.65	4.76	5.56
4.09	2.61	2.53
7.51	5.57	7.49
-5.97	-4.81	-3.70
5.04	5.26	4.53
-3.76	-3.18	-3.00
4.24	2.81	2.52
1.24	1.23	1.93
0.68	-0.44	-0.70
6.82	5.11	6.45
4.73	5.06	3.45
0.58	-0.95	0.64
-2.12	-1.65	-1.70
3.65	2.96	3.65
-1.46	-0.30	-2.15
-14.89	-16.22	-13.87
5.95	4.54	4.40
7.81	5.09	4.24
5.75	4.88	5.25
5.38	7.21	6.80
3.83	2.25	2.76
-3.46	-4.48	-3.36
3.57	2.66	2.84
3.50	1.89	1.85
-2.70	-2.46	-1.66
5.15	4.03	4.96
-3.50	-3.53	-2.10
-0.89	-1.44	-2.45
-3.13	-3.25	-1.72
5.94	5.16	1.90
1.67	2.87	3.27
5.45	8.04	6.65
