EPS sales AE cost
1.87 99.13 80.27 50.59
1.27 100.32 81.8 50.33
0.32 99.28 80.01 50.21
1.08 100.65 81.12 49.25
0.89 98.78 79.41 51.61
1.12 100.76 79.47 49.57
1.48 99.41 79.76 50.52
0.15 99.76 80.83 48.61
2.08 100.2 80.52 49.63
0.85 100.71 80.75 50.76
2.65 176.93 120.02 26.22
2.74 175.74 121.13 26.72
0.91 174.91 121.09 28.82
0.69 175.74 119.22 28.5
2.42 174.63 119.33 27.87
2.44 173.76 118.91 25.73
1.89 174.87 119.73 27.24
2.47 175.11 119.53 28.23
1.46 176.94 120.16 27.03
3.37 175.17 120.57 29.13
1.56 87.63 71.79 29.15
2.21 88.45 69.82 30.6
1.49 88.66 70.76 31.79
2.49 90.48 71.85 30.18
1.4 89.73 72.65 30.27
2.67 87.91 71.79 29.89
1.89 89.07 72.86 29.19
0.54 88.36 72.78 29.74
0.64 89.6 73.3 29.03
1.28 88.52 71.94 29.68
3.59 225.28 174.28 20.35
3.6 224.62 174.85 20.37
4.22 225.5 174.39 19.26
3.74 224.92 175.49 17.94
2.75 226.82 176.25 20.6
3.44 223.57 174.27 20.21
4.64 224.6 173.8 20.6
2.92 225.57 175.87 19.5
2.7 225.12 174.99 19.69
1.93 223.51 175.64 21.07
