index    colorscore clarityscore cutscore carat price
1            7            6        4  0.33  1002
2            6            3        2  1.01  4986
3            7            3        4  1.01  5644
4            7            3        5  0.34   626
5            3            2        4  1.00  4032
6            5            2        4  1.03  4503
7            6            4        5  0.57  1949
8            4            3        1  1.51  8681
9            4            6        2  0.30   684
10           4            6        4  0.41  1056
11           4            2        5  1.34  5358
12           7            4        5  0.35  1063
13           7            4        5  0.57  1914
14           5            4        4  1.62 14961
15           4            2        4  0.52  1235
16           6            7        5  0.31   853
17           4            6        3  1.22  9706
18           6            2        4  1.12  4215
19           7            3        4  0.40   924
20           4            2        2  1.10  4457
21           6            6        5  0.50  2346
22           4            4        2  0.40   807
23           4            4        4  1.18  7137
24           4            2        3  1.51  8973
25           6            2        3  0.55  1145
26           6            3        5  0.33   579
27           2            3        5  0.70  2287
28           7            4        4  0.34   805
29           3            4        3  1.06  5415
30           5            4        5  1.13  7756
31           4            3        1  0.70  2120
32           5            7        4  0.31   982
33           5            6        3  0.74  3948
34           6            4        3  1.51 13757
35           7            3        2  0.41   717
36           4            2        3  0.80  2451
37           1            3        3  0.71  1841
38           4            4        5  0.72  3547
39           3            4        4  0.72  2418
40           4            5        5  1.03  7587
41           4            2        4  0.54  1195
42           4            5        4  0.44  1031
43           5            6        5  0.41  1323
44           5            4        5  0.35   706
45           5            3        5  0.90  4324
46           6            2        5  0.85  3441
47           7            4        5  0.42  1103
48           6            3        4  1.00  5322
49           3            2        5  1.18  5182
50           3            5        3  0.36   631
51           2            5        4  1.55 10416
52           3            4        3  1.00  5883
53           4            2        2  1.00  3646
54           4            6        4  0.33   965
55           4            3        2  1.00  4218
56           3            3        4  0.70  1948
57           3            5        4  1.03  5849
58           4            3        4  1.02  5255
59           6            4        5  0.50  1746
60           7            2        5  0.92  3997
61           3            8        5  0.71  3290
62           6            7        5  0.41  1431
63           6            4        3  1.01  6787
64           4            5        4  1.00  6115
65           7            4        5  0.36  1094
66           6            4        5  0.34   745
67           3            7        5  0.26   468
68           4            2        5  0.31   391
69           5            4        2  0.38   873
70           6            6        3  0.27   575
71           7            2        3  1.12  5243
72           7            1        5  0.34   413
73           6            3        5  0.72  2907
74           1            3        4  1.02  3856
75           4            4        5  0.41  1061
76           4            4        3  0.30   526
77           4            4        5  0.34   765
78           5            7        4  1.01  9412
79           5            5        3  0.43  1056
80           3            2        4  1.03  4078
81           3            3        5  0.31   421
82           4            5        5  1.10  8775
83           5            7        3  0.29   563
84           5            3        4  0.65  1748
85           7            2        2  1.01  3932
86           7            3        4  0.32   756
87           5            5        4  0.30   844
88           5            5        5  0.58  1979
89           6            6        5  0.54  2776
90           4            4        4  0.32   720
91           5            4        3  0.31   625
92           2            5        5  1.11  6758
93           6            6        5  0.62  2904
94           5            6        4  0.61  2392
95           4            4        2  0.39   787
96           4            5        5  0.32   645
97           4            4        5  0.37   809
98           7            6        3  1.01 10800
99           6            4        3  0.90  5887
100          4            3        3  0.71  2104
101          4            3        3  0.90  3841
102          4            2        1  1.46  5504
103          3            5        5  0.77  3468
104          2            1        2  1.03  2540
105          3            3        5  1.29  7513
106          7            5        5  0.31   877
107          7            6        4  0.72  3459
108          2            4        3  0.81  2714
