subject    month     rate_return
1       1 -0.0390992
2       1  0.0019204
3       1  0.0009552
4       1  0.0267299
5       1  0.0111278
6       1 -0.0131486
7       1 -0.0043960
8       1  0.0120962
9       1  0.0106148
10      1 -0.0068555
11      1  0.0005222
12      1 -0.0071206
13      1 -0.0029166
14      1 -0.0280226
15      1  0.0060465
16      1 -0.0042216
17      1 -0.0039463
18      1 -0.0278408
19      1  0.0249049
20      2  0.0105717
21      2 -0.0001135
22      2  0.0111854
23      2 -0.0004212
24      2 -0.0000913
25      2  0.0121985
26      2 -0.0210351
27      2  0.0036202
28      2 -0.0211923
29      2  0.0020309
30      2  0.0086749
31      2 -0.0103094
32      2  0.0004251
33      2 -0.0308471
34      2  0.0045066
35      2  0.0062812
36      2 -0.0053498
37      2 -0.0149400
38      2  0.0109570
39      3  0.0246989
40      3  0.0196428
41      3 -0.0127767
42      3 -0.0259653
43      3  0.0081402
44      3  0.0252796
45      3 -0.0047341
46      3 -0.0082413
47      3 -0.0178437
48      3  0.0705284
49      3  0.0041055
50      3 -0.0053679
51      3  0.0252445
52      3  0.0045216
53      3  0.0177145
54      3 -0.0023596
55      3 -0.0106414
56      3  0.0005238
57      3 -0.0137499
58      4  0.0120580
59      4 -0.0074916
60      4 -0.0049361
61      4  0.0093486
62      4  0.0099481
63      4 -0.0078721
64      4 -0.0025757
65      4 -0.0225230
66      4 -0.0183382
67      4 -0.0600451
68      4  0.0325482
69      4  0.0282603
70      4 -0.0098569
71      4  0.0049406
72      4 -0.0032677
73      4  0.0327343
74      4 -0.0111966
75      4  0.0026863
76      4 -0.0085626
77      5 -0.0042364
78      5 -0.0218015
79      5 -0.0039155
80      5  0.0162272
81      5 -0.0059227
82      5 -0.0084829
83      5 -0.0208151
84      5  0.0177441
85      5  0.0092974
86      5  0.0218571
87      5  0.0093751
88      5 -0.0198612
89      5 -0.0212795
90      5 -0.0044379
91      5 -0.0193621
92      5  0.0181691
93      5 -0.0126091
94      5 -0.0025367
95      5  0.0317331
96      6  0.0378083
97      6 -0.0065402
98      6 -0.0066930
99      6  0.0092313
100     6 -0.0066075
101     6 -0.0032344
102     6 -0.0075441
103     6  0.0168286
104     6  0.0055539
105     6 -0.0096970
106     6  0.0146014
107     6 -0.0067861
108     6  0.0021522
109     6 -0.0183882
110     6 -0.0073955
111     6  0.0095486
112     6 -0.0003368
113     6 -0.0085807
114     6  0.0084295
115     7  0.0102185
116     7 -0.0159893
117     7  0.0071928
118     7  0.0151456
119     7 -0.0022203
120     7  0.0035583
121     7  0.0080974
122     7  0.0019540
123     7  0.0097462
124     7 -0.0111511
125     7 -0.0079175
126     7  0.0091419
127     7 -0.0103369
128     7 -0.0108000
129     7  0.0069281
130     7 -0.0150675
131     7 -0.0019297
132     7 -0.0207220
133     7  0.0076753
134     8  0.0054852
135     8  0.0095876
136     8  0.0071138
137     8  0.0111412
138     8  0.0023497
139     8 -0.0067193
140     8 -0.0086052
141     8  0.0079057
142     8  0.0133092
143     8 -0.0047917
144     8  0.0078108
145     8 -0.0029119
146     8  0.0051886
147     8 -0.0009007
148     8  0.0052195
149     8  0.0003187
150     8  0.0050587
151     8 -0.0028109
152     8 -0.0048134
153     9  0.0029837
154     9 -0.0098890
155     9  0.0068520
156     9 -0.0053453
157     9 -0.0035124
158     9 -0.0048936
159     9  0.0019684
160     9 -0.0027244
161     9 -0.0102218
162     9 -0.0146378
163     9  0.0105978
164     9 -0.0058807
165     9 -0.0015791
166     9 -0.0002278
167     9 -0.0067111
168     9 -0.0082478
169     9 -0.0004485
170     9  0.0219916
171     9 -0.0150480
172    10 -0.0001949
173    10 -0.0068258
174    10  0.0054950
175    10  0.0013656
176    10 -0.0191833
177    10 -0.0049519
178    10 -0.0107636
179    10 -0.0421440
180    10  0.0328364
181    10  0.0003274
182    10 -0.0180950
183    10 -0.0058245
184    10  0.0341534
185    10  0.0058657
186    10 -0.0008236
187    10  0.0016822
188    10 -0.0243915
189    10  0.0110350
190    10  0.0137355
191    11  0.0209843
192    11 -0.0011419
193    11  0.0038477
194    11 -0.0002235
195    11 -0.0159023
196    11 -0.0065067
197    11 -0.0247001
198    11 -0.0108346
199    11  0.0231814
200    11  0.0049481
201    11 -0.0126643
202    11 -0.0033576
203    11 -0.0185222
204    11  0.0035168
205    11 -0.0041501
206    11  0.0053517
207    11 -0.0095939
208    11  0.0043614
209    11 -0.0203102
210    12  0.0075912
211    12  0.0381833
212    12 -0.0183876
213    12 -0.0058701
214    12  0.0194151
215    12  0.0074980
216    12 -0.0065567
217    12 -0.0081943
218    12 -0.0141139
219    12 -0.0216964
220    12  0.0080383
221    12 -0.0130426
222    12 -0.0317961
223    12  0.0079698
224    12  0.0240944
225    12  0.0070504
226    12  0.0103854
227    12  0.0039803
228    12 -0.0105030
