date open high low close vol
20000103 36.58 36.75 35.67 35.87 92302992
20000104 35.21 35.39 34.43 34.43 92518800
20000105 34.37 35.15 34.09 34.37 114147256
20000106 34.22 35.13 34.10 34.83 83116104
20000107 35.39 36.31 35.15 36.18 84237800
20000110 36.51 36.84 36.14 36.16 63682112
20000111 36.10 36.51 36.02 36.22 63249244
20000112 36.12 36.64 36.00 36.34 76713392
20000113 36.61 37.05 36.58 36.76 62540340
20000114 36.67 36.97 35.76 36.10 77290552
20000118 35.78 35.78 35.09 35.39 76522672
20000119 35.03 36.09 34.97 35.56 62106216
20000120 35.64 35.81 34.10 34.89 128644016
20000121 35.37 35.45 34.42 34.46 100398288
20000124 34.74 34.89 32.62 33.03 113408240
20000125 33.01 33.57 32.76 33.12 106178680
20000126 33.59 34.00 33.21 33.82 66318228
20000127 33.85 33.89 32.77 33.89 80482496
20000128 33.55 33.59 31.95 32.04 124828480
20000131 32.04 32.50 31.81 32.04 91102248
20000201 32.10 32.76 32.04 32.52 114340480
20000202 32.79 32.91 32.05 32.05 91259080
20000203 32.50 33.43 32.34 33.29 84616720
20000204 33.71 34.22 33.59 33.85 75980648
20000207 33.88 33.89 32.49 32.64 76473744
20000208 32.65 33.10 32.64 32.77 78188912
20000209 32.76 32.92 32.05 32.05 67017096
20000210 32.17 32.74 31.83 32.38 80165056
20000211 32.29 32.83 31.93 31.98 85956736
20000214 31.98 32.50 31.93 32.13 60818896
20000215 32.04 33.24 32.03 32.88 78725920
20000216 32.67 32.74 32.13 32.44 60772472
20000217 32.25 32.43 31.08 31.32 120948960
20000218 31.32 31.55 29.87 29.92 147750528
20000222 30.19 31.08 29.90 30.99 113888784
20000223 31.08 31.79 30.70 31.20 91827464
20000224 31.16 31.79 30.14 31.32 115509856
20000225 30.96 31.31 30.05 30.16 111539992
20000228 30.13 31.62 30.13 30.95 113102096
20000229 31.23 32.04 31.11 31.65 94415896
20000301 31.92 32.01 31.26 31.41 111621552
20000302 31.41 32.55 31.29 32.34 83165040
20000303 32.82 33.59 32.77 33.33 99388264
20000306 33.39 33.39 32.22 32.89 77291224
20000307 32.88 32.88 31.03 31.10 123798576
20000308 31.17 31.70 30.89 31.19 99922552
20000309 31.19 31.59 30.44 30.87 78989672
20000310 31.32 32.09 31.11 31.52 86487904
20000313 30.87 31.23 30.54 30.98 80476280
20000314 31.03 31.05 30.35 30.40 79680328
20000315 30.36 32.24 30.22 31.97 108261864
20000316 32.00 33.37 31.95 33.27 125366664
20000317 33.06 33.85 32.83 33.48 133130632
20000320 33.48 33.93 32.94 33.73 65165192
20000321 33.21 36.25 33.04 36.02 155196640
20000322 36.02 36.36 35.57 36.11 90715848
20000323 36.26 38.29 36.13 38.29 130866872
20000324 37.73 38.23 37.32 38.07 96420368
20000327 37.76 37.99 37.40 37.80 68554568
20000328 37.52 37.97 37.34 37.34 91135760
20000329 37.67 39.46 37.67 39.01 163498352
20000330 38.77 38.89 37.71 37.99 104317208
20000331 38.11 38.27 37.04 37.25 97900712
20000403 37.16 38.53 37.10 38.53 80147872
20000404 37.95 38.03 35.21 36.86 138006608
20000405 36.41 37.10 36.07 36.69 89492464
20000406 36.90 37.74 36.87 37.55 57623088
20000407 37.73 38.25 37.38 38.01 55681468
20000410 38.15 38.53 37.79 38.16 59474456
20000411 37.89 39.22 37.73 38.68 87752648
20000412 38.92 39.07 37.34 37.52 81237136
20000413 37.67 37.68 35.90 36.02 106532080
20000414 35.42 35.93 34.24 34.88 132221864
20000417 34.56 36.68 34.44 36.38 133500400
20000418 36.57 37.80 36.36 37.46 106285144
20000419 37.35 37.53 36.89 37.22 59123488
20000420 37.35 37.93 37.22 37.93 71267064
20000424 37.58 39.24 37.41 38.79 100338704
20000425 38.83 39.80 38.50 39.73 95491552
20000426 39.76 40.19 38.61 39.07 89135224
20000427 38.41 38.76 37.86 38.65 84513696
20000428 38.62 38.77 37.47 37.64 59054548
20000501 38.05 38.77 37.76 38.15 52171764
20000502 38.05 38.73 37.86 38.55 53168268
20000503 38.17 38.29 36.99 37.35 69336728
20000504 37.68 37.70 36.56 36.86 64390552
20000505 36.86 38.29 36.74 37.82 86430248
20000508 37.43 37.97 37.07 37.65 16262330
20000509 37.61 37.83 36.53 37.43 18717592
20000510 36.98 37.38 35.94 36.35 20973830
20000511 36.98 37.61 36.44 36.58 18714666
20000512 36.48 37.79 36.40 37.52 14921539
20000515 37.56 39.09 37.52 38.77 18880402
20000516 39.35 39.63 38.77 38.95 23581736
20000517 38.59 39.05 38.15 38.51 15730860
20000518 38.41 39.05 37.97 38.15 17920248
20000519 37.43 37.83 36.62 37.25 17956598
20000522 37.25 37.25 35.00 35.90 23334804
20000523 35.32 35.90 35.14 35.90 16841014
20000524 35.18 36.80 35.18 36.44 20811158
20000525 36.44 37.20 35.72 36.44 15930858
20000526 36.22 36.58 35.41 35.58 12348452
20000530 35.76 36.98 35.46 36.80 18029716
20000531 37.16 38.28 36.98 37.79 20145428
20000601 37.38 38.33 36.44 37.61 17851586
20000602 38.28 38.77 37.16 37.87 16733354
20000605 37.34 37.52 36.66 37.02 13359581
20000606 36.98 37.20 36.30 36.75 11092896
20000607 36.71 37.65 36.62 36.89 13894811
20000608 36.98 37.07 36.26 36.53 12105418
20000609 36.66 36.80 35.36 35.81 15268331
20000612 35.90 35.99 34.78 35.81 17055774
20000613 35.90 37.02 35.72 36.75 18671630
20000614 36.80 37.20 36.12 36.62 14345362
20000615 36.26 37.34 35.90 37.25 16691015
20000616 37.34 37.47 36.65 36.71 26455238
20000619 36.48 37.16 35.90 36.08 13659159
20000620 37.29 37.29 35.99 36.62 15545208
20000621 35.94 36.17 35.32 35.50 19282766
20000622 35.32 35.90 34.42 35.00 21857942
20000623 34.96 35.81 34.87 35.81 14199960
20000626 35.46 35.94 35.23 35.86 12678531
20000627 35.90 36.12 35.23 35.36 13667098
20000628 35.72 36.48 35.58 36.30 18449350
20000629 36.26 36.26 35.41 35.72 17956598
20000630 35.36 38.13 35.23 38.05 26568328
20000703 37.70 37.70 36.89 37.34 9198491
20000705 37.62 37.62 35.64 35.95 18833022
20000706 36.04 36.72 35.86 36.13 13357999
20000707 36.54 37.08 36.22 36.94 13804307
20000710 36.94 37.89 36.81 37.75 17011532
20000711 37.66 38.43 37.48 37.62 17936516
20000712 38.79 38.79 37.62 38.69 14978489
20000713 38.33 38.87 37.39 37.80 22364734
20000714 37.66 37.80 37.08 37.08 15451884
20000717 37.12 39.19 37.12 38.65 25516674
20000718 38.61 38.69 37.62 37.62 16651486
20000719 38.11 38.38 37.84 37.98 13239650
20000720 38.29 39.41 38.02 39.10 15586068
20000721 39.33 39.41 38.61 38.97 18085284
20000724 39.01 39.33 38.61 38.87 13112828
20000725 38.87 39.01 38.51 38.56 11762373
20000726 38.83 38.83 37.53 37.53 23288188
20000727 37.89 38.20 37.62 37.80 19150562
20000728 37.80 37.89 36.27 36.67 18622854
20000731 37.17 38.07 37.03 37.21 23883960
20000801 37.39 38.07 37.30 37.98 18061948
20000802 37.75 38.02 37.08 37.44 21455170
20000803 38.79 38.79 37.35 38.07 17968186
20000804 37.35 38.51 36.85 38.43 12624570
20000807 37.53 38.61 37.53 37.89 10737100
20000808 38.20 38.74 37.44 38.69 12235213
20000809 38.79 40.45 38.61 40.27 29778482
20000810 40.23 41.17 39.95 41.03 25339012
20000811 40.41 41.31 40.13 40.72 16823174
20000814 40.59 41.17 40.18 41.03 10827807
20000815 40.85 41.31 40.45 41.21 14991129
20000816 41.21 41.21 40.45 40.90 10350939
20000817 40.54 41.21 40.31 40.81 14349101
20000818 40.45 40.67 40.13 40.45 11556791
20000821 40.81 41.08 40.41 40.72 10854477
20000822 40.77 40.99 40.36 40.49 11234110
20000823 40.49 41.80 40.41 41.71 15714280
20000824 41.80 42.88 41.57 42.43 16642873
20000825 42.52 42.88 42.39 42.65 11249251
20000828 42.83 43.55 42.79 43.19 17441172
20000829 42.88 43.15 42.61 43.11 11433025
20000830 42.57 42.70 41.13 41.39 14560795
20000831 41.21 42.70 41.17 42.21 16530775
20000901 42.65 42.97 41.62 42.11 10752797
20000905 42.07 42.43 41.62 41.62 12929748
20000906 42.43 42.65 42.11 42.47 20293630
20000907 42.39 42.61 41.89 42.47 11156322
20000908 42.34 43.19 41.93 43.11 15112256
20000911 42.83 43.24 42.25 42.97 16359781
20000912 42.83 43.01 42.43 42.52 14140740
