date open high low close vol
20000103 1469.25 1478.00 1438.36 1455.22 931800000
20000104 1455.22 1455.22 1397.43 1399.42 1009000000
20000105 1399.42 1413.27 1377.68 1402.11 1085500032
20000106 1402.11 1411.90 1392.10 1403.45 1092300032
20000107 1403.45 1441.47 1400.73 1441.47 1225200000
20000110 1441.47 1464.36 1441.47 1457.60 1064800000
20000111 1457.60 1458.66 1434.42 1438.56 1014000000
20000112 1438.56 1442.60 1427.08 1432.25 974600000
20000113 1432.25 1454.20 1432.25 1449.68 1030400000
20000114 1449.68 1473.00 1449.68 1465.15 1085900032
20000118 1465.15 1465.15 1451.30 1455.14 1056700032
20000119 1455.14 1461.39 1448.68 1455.90 1087800064
20000120 1455.90 1465.71 1438.54 1445.57 1100700032
20000121 1445.57 1453.18 1439.60 1441.36 1209799936
20000124 1441.36 1454.09 1395.42 1401.53 1115800064
20000125 1401.53 1414.26 1388.49 1410.03 1073699968
20000126 1410.03 1412.73 1400.16 1404.09 1117299968
20000127 1404.09 1418.86 1370.99 1398.56 1129500032
20000128 1398.56 1398.56 1356.20 1360.16 1095800064
20000131 1360.16 1394.48 1350.14 1394.46 993800000
20000201 1394.46 1412.49 1384.79 1409.28 981000000
20000202 1409.28 1420.61 1403.49 1409.12 1038600000
20000203 1409.12 1425.78 1398.52 1424.97 1146499968
20000204 1424.97 1435.91 1420.63 1424.37 1045100032
20000207 1424.37 1427.15 1413.33 1424.24 918099968
20000208 1424.24 1441.83 1424.24 1441.72 1047699968
20000209 1441.72 1444.55 1411.65 1411.71 1050499968
20000210 1411.70 1422.10 1406.43 1416.83 1058800000
20000211 1416.83 1416.83 1378.89 1387.12 1025699968
20000214 1387.12 1394.93 1380.53 1389.94 927299968
20000215 1389.94 1407.72 1376.25 1402.05 1092099968
20000216 1402.05 1404.55 1385.58 1387.67 1018800000
20000217 1387.67 1399.88 1380.07 1388.26 1034800000
20000218 1388.26 1388.59 1345.32 1346.09 1042300032
20000222 1346.09 1358.11 1331.88 1352.17 980000000
20000223 1352.17 1370.11 1342.44 1360.69 993699968
20000224 1360.69 1364.80 1329.88 1353.43 1215000064
20000225 1353.43 1362.14 1329.15 1333.36 1065200000
20000228 1333.36 1360.82 1325.07 1348.05 1026499968
20000229 1348.05 1369.63 1348.05 1366.42 1204300032
20000301 1366.42 1383.46 1366.42 1379.19 1274099968
20000302 1379.19 1386.56 1370.35 1381.76 1198599936
